ON,1455696408,Free
OFF-ON,1455696733,Free
ON,1455696950,Free
OFF,1455697119,NO-INFO
ON,1455697249,Free
OFF-ON,1455697490,Free
ON,1455697652,Free
ON,1455783069,Free
OFF,1455783492,NO-INFO
ON-OFF,1455783496,NO-INFO
OFF,1455783556,NO-INFO
ON,1455783730,Free
OFF,1455784023,NO-INFO
ON,1455784096,Free
OFF-ON,1455784270,Free
ON,1455784330,Free
OFF-ON,1455784392,Free
ON,1455869701,Free
OFF,1455870035,NO-INFO
ON,1455870307,Free
OFF,1455870479,NO-INFO
ON,1455870564,Free
OFF-ON,1455870863,Free
ON,1456172582,Free
OFF,1456172632,NO-INFO
ON,1456172786,Free
OFF-ON,1456172960,Free
ON,1456172990,Free
OFF,1456173216,NO-INFO
ON,1456173302,Free
OFF,1456173419,NO-INFO
ON-OFF,1456173446,NO-INFO
OFF-ON,1456173724,Free
ON,1456173782,Free
ON,1456214987,Free
OFF,1456214993,NO-INFO
ON-OFF,1456215005,NO-INFO
OFF-ON,1456215114,Free
ON,1456215173,Free
OFF,1456215287,NO-INFO
ON,1456215714,Free
OFF,1456215819,NO-INFO
ON,1456215987,Free
OFF,1456216235,NO-INFO
ON,1456216345,Free
ON,1456387710,Free
OFF,1456387722,NO-INFO
ON,1456387776,Free
OFF-ON,1456387957,Free
ON,1456388238,Free
OFF-ON,1456388312,Free
ON,1456388491,Free
OFF,1456388732,NO-INFO
ON,1456388791,Free
OFF,1456388817,NO-INFO
ON,1456388850,Free
ON,1456474205,Free
OFF,1456474333,NO-INFO
ON,1456474367,Free
OFF,1456474384,NO-INFO
ON,1456474390,Free
OFF-ON,1456474527,Free
ON,1456474696,Free
OFF,1456475244,NO-INFO
ON,1456475288,Free
OFF,1456475396,NO-INFO
ON,1456475422,Free
ON,1456733532,Free
OFF-ON,1456733555,Free
ON,1456733598,Free
OFF,1456733816,NO-INFO
ON,1456733842,Free
OFF,1456733869,NO-INFO
ON,1456734075,Free
OFF,1456734243,NO-INFO
ON,1456734360,Free
OFF-ON,1456734620,Free
ON,1456734764,Free
ON,1456819997,Free
OFF,1456820155,NO-INFO
ON,1456820165,Free
OFF,1456820321,NO-INFO
ON,1456820391,Free
OFF-ON,1456820420,Free
ON,1456820471,Free
OFF,1456820641,NO-INFO
ON-OFF,1456820664,NO-INFO
OFF,1456820963,NO-INFO
ON,1456821084,Free
OFF,1456821105,NO-INFO
ON,1456821138,Free
ON,1456906124,Free
OFF,1456906150,NO-INFO
ON,1456906159,Free
OFF-ON,1456906371,Free
ON,1456906429,Free
OFF,1456906487,NO-INFO
ON,1456906789,Free
OFF,1456907008,NO-INFO
ON,1456907110,Free
OFF-ON,1456907386,Free
ON,1456907436,Free
OFF-ON,1456907444,Free
ON,1456907501,Free
ON,1456992530,Free
OFF-ON,1456992657,Free
ON,1456992716,Free
OFF-ON,1456992837,Free
ON-OFF,1456993091,NO-INFO
OFF,1456993285,NO-INFO
ON-OFF,1456993394,NO-INFO
OFF-ON,1456993617,Free
ON,1457080069,Free
OFF,1457080421,NO-INFO
ON,1457080628,Free
OFF,1457080828,NO-INFO
ON,1457080872,Free
OFF-ON,1457080918,Free
ON,1457080970,Free
OFF,1457081234,NO-INFO
ON,1457081331,Free
OFF,1457081381,NO-INFO
ON,1457081413,Free
ON,1457596141,Free
OFF-ON,1457596210,Free
ON,1457596215,Free
OFF-ON,1457596508,Free
ON,1457596777,Free
OFF,1457596984,NO-INFO
ON,1457597099,Free
OFF-ON,1457597343,Free
ON,1457597478,Free
ON,1457684264,Free
OFF-ON,1457684625,Free
ON,1457684808,Free
OFF,1457684986,NO-INFO
ON,1457685095,Free
OFF-ON,1457685227,Free
ON,1457685285,Free
OFF-ON,1457685346,Free
ON,1457685475,Free
ON,1457724454,Free
OFF-ON,1457724522,Free
ON,1457724635,Free
OFF,1457724880,NO-INFO
ON-OFF,1457724903,NO-INFO
OFF-ON,1457725087,Free
ON,1457725193,Free
OFF,1457725264,NO-INFO
ON,1457725284,Free
OFF-ON,1457725741,Free
ON,1457725780,Free
ON,1457944059,Free
OFF-ON,1457944184,Free
ON,1457944244,Free
OFF-ON,1457944540,Free
ON,1457944541,Free
OFF-ON,1457944545,Free
ON,1457944778,Free
OFF,1457944930,NO-INFO
ON,1457944980,Free
OFF,1457945321,NO-INFO
ON,1457945415,Free
ON,1458030238,Free
OFF-ON,1458030272,Free
ON,1458030275,Free
OFF,1458030517,NO-INFO
ON,1458030770,Free
OFF,1458030918,NO-INFO
ON,1458031012,Free
OFF-ON,1458031080,Free
ON,1458031139,Free
OFF,1458031308,NO-INFO
ON,1458031405,Free
ON,1458116056,Free
OFF-ON,1458116107,Free
ON,1458116109,Free
OFF-ON,1458116365,Free
ON,1458116605,Free
OFF,1458116780,NO-INFO
ON,1458116830,Free
OFF,1458116848,NO-INFO
ON,1458116879,Free
OFF,1458117112,NO-INFO
ON,1458202781,Free
OFF-ON,1458203148,Free
ON,1458203510,Free
OFF-ON,1458203691,Free
ON,1458203787,Free
OFF-ON,1458203988,Free
ON,1458204047,Free
OFF,1458204099,NO-INFO
ON,1458204135,Free
